Element,Unit,Item,Year,Value
Export Quantity,t,"Meat of ducks, fresh or chilled",1969,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1969,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1970,557
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1970,547
Export Quantity,t,"Meat of ducks, fresh or chilled",1970,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1970,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1971,536
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1971,540
Export Quantity,t,"Meat of ducks, fresh or chilled",1971,0
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1971,0
Import Quantity,t,"Meat of ducks, fresh or chilled",1972,443
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1972,393
Export Quantity,t,"Meat of ducks, fresh or chilled",1972,147
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1972,165
Import Quantity,t,"Meat of ducks, fresh or chilled",1973,1078
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1973,1219
Export Quantity,t,"Meat of ducks, fresh or chilled",1973,18
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1973,17
Import Quantity,t,"Meat of ducks, fresh or chilled",1974,614
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1974,765
Export Quantity,t,"Meat of ducks, fresh or chilled",1974,211
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1974,292
Import Quantity,t,"Meat of ducks, fresh or chilled",1975,527
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1975,735
Export Quantity,t,"Meat of ducks, fresh or chilled",1975,225
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1975,338
Import Quantity,t,"Meat of ducks, fresh or chilled",1976,910
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1976,1317
Export Quantity,t,"Meat of ducks, fresh or chilled",1976,255
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1976,401
Import Quantity,t,"Meat of ducks, fresh or chilled",1977,765
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1977,1151
Export Quantity,t,"Meat of ducks, fresh or chilled",1977,903
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1977,1564
Import Quantity,t,"Meat of ducks, fresh or chilled",1978,1081
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1978,1985
Export Quantity,t,"Meat of ducks, fresh or chilled",1978,1148
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1978,2413
Import Quantity,t,"Meat of ducks, fresh or chilled",1979,1346
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1979,2956
Export Quantity,t,"Meat of ducks, fresh or chilled",1979,910
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1979,2366
Import Quantity,t,"Meat of ducks, fresh or chilled",1980,938
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1980,2447
Export Quantity,t,"Meat of ducks, fresh or chilled",1980,1457
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1980,3891
Import Quantity,t,"Meat of ducks, fresh or chilled",1981,978
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1981,2186
Export Quantity,t,"Meat of ducks, fresh or chilled",1981,2047
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1981,4733
Import Quantity,t,"Meat of ducks, fresh or chilled",1982,1079
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1982,2369
Export Quantity,t,"Meat of ducks, fresh or chilled",1982,2510
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1982,5036
Import Quantity,t,"Meat of ducks, fresh or chilled",1983,1001
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1983,1858
Export Quantity,t,"Meat of ducks, fresh or chilled",1983,2942
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1983,5625
Import Quantity,t,"Meat of ducks, fresh or chilled",1984,546
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1984,828
Export Quantity,t,"Meat of ducks, fresh or chilled",1984,3586
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1984,6150
Import Quantity,t,"Meat of ducks, fresh or chilled",1985,672
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1985,1226
Export Quantity,t,"Meat of ducks, fresh or chilled",1985,3739
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1985,6592
Import Quantity,t,"Meat of ducks, fresh or chilled",1986,466
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1986,980
Export Quantity,t,"Meat of ducks, fresh or chilled",1986,3966
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1986,8318
Import Quantity,t,"Meat of ducks, fresh or chilled",1987,941
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1987,2127
Export Quantity,t,"Meat of ducks, fresh or chilled",1987,4079
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1987,10078
Import Quantity,t,"Meat of ducks, fresh or chilled",1988,1356
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1988,7258
Export Quantity,t,"Meat of ducks, fresh or chilled",1988,4457
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1988,12839
Import Quantity,t,"Meat of ducks, fresh or chilled",1989,1461
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1989,8760
Export Quantity,t,"Meat of ducks, fresh or chilled",1989,4486
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1989,11705
Import Quantity,t,"Meat of ducks, fresh or chilled",1990,1998
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1990,12037
Export Quantity,t,"Meat of ducks, fresh or chilled",1990,4073
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1990,12581
Import Quantity,t,"Meat of ducks, fresh or chilled",1991,1622
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1991,11083
Export Quantity,t,"Meat of ducks, fresh or chilled",1991,5430
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1991,16772
Import Quantity,t,"Meat of ducks, fresh or chilled",1992,2184
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1992,13554
Export Quantity,t,"Meat of ducks, fresh or chilled",1992,6326
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1992,20519
Import Quantity,t,"Meat of ducks, fresh or chilled",1993,1739
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1993,9254
Export Quantity,t,"Meat of ducks, fresh or chilled",1993,6825
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1993,19229
Import Quantity,t,"Meat of ducks, fresh or chilled",1994,2883
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1994,13242
Export Quantity,t,"Meat of ducks, fresh or chilled",1994,8921
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1994,24517
Import Quantity,t,"Meat of ducks, fresh or chilled",1995,3281
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1995,11920
Export Quantity,t,"Meat of ducks, fresh or chilled",1995,9582
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1995,28930
Import Quantity,t,"Meat of ducks, fresh or chilled",1996,2185
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1996,10334
Export Quantity,t,"Meat of ducks, fresh or chilled",1996,9948
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1996,29655
Import Quantity,t,"Meat of ducks, fresh or chilled",1997,2679
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1997,7576
Export Quantity,t,"Meat of ducks, fresh or chilled",1997,7630
Export Value,1000 USD,"Meat of ducks, fresh or chilled",1997,19586
Import Quantity,t,"Meat of ducks, fresh or chilled",1998,3573
Import Value,1000 USD,"Meat of ducks, fresh or chilled",1998,9884
Export Quantity,t,"Meat of ducks, fresh or chilled",1998,8631
